timestamp,model_type,dataset_name,xai_method,seed,duration_seconds,success,error_message
2025-10-30T13:59:13.235746,SAX_MLP,ECG,LIME,4,2.715240716934204,True,
2025-10-30T13:59:13.728585,VQ-VAE_MLP,CNC_Machining,IG,0,0.49273061752319336,True,
2025-10-30T13:59:14.196138,VQ-VAE_MLP,CNC_Machining,IG,1,0.4673576354980469,True,
2025-10-30T13:59:14.658815,VQ-VAE_MLP,CNC_Machining,IG,2,0.4624788761138916,True,
2025-10-30T13:59:15.147067,VQ-VAE_MLP,CNC_Machining,IG,3,0.48806047439575195,True,
2025-10-30T13:59:15.632333,VQ-VAE_MLP,CNC_Machining,IG,4,0.48506736755371094,True,
2025-10-30T13:59:15.806117,VQ-VAE_MLP,CNC_Machining,SM,0,0.1735987663269043,True,
2025-10-30T13:59:15.977660,VQ-VAE_MLP,CNC_Machining,SM,1,0.17137908935546875,True,
2025-10-30T13:59:16.151000,VQ-VAE_MLP,CNC_Machining,SM,2,0.1732470989227295,True,
2025-10-30T13:59:16.323040,VQ-VAE_MLP,CNC_Machining,SM,3,0.17194557189941406,True,
2025-10-30T13:59:16.494656,VQ-VAE_MLP,CNC_Machining,SM,4,0.17151832580566406,True,
2025-10-30T13:59:20.976570,VQ-VAE_MLP,CNC_Machining,RISE,0,4.481819152832031,True,
2025-10-30T13:59:25.475041,VQ-VAE_MLP,CNC_Machining,RISE,1,4.498363971710205,True,
2025-10-30T13:59:29.967692,VQ-VAE_MLP,CNC_Machining,RISE,2,4.483088493347168,True,
2025-10-30T13:59:34.436377,VQ-VAE_MLP,CNC_Machining,RISE,3,4.468583822250366,True,
2025-10-30T13:59:38.952769,VQ-VAE_MLP,CNC_Machining,RISE,4,4.516288757324219,True,
2025-10-30T13:59:42.487484,VQ-VAE_MLP,CNC_Machining,LIME,0,3.534611701965332,True,
2025-10-30T13:59:46.043888,VQ-VAE_MLP,CNC_Machining,LIME,1,3.5562944412231445,True,
2025-10-30T13:59:49.584605,VQ-VAE_MLP,CNC_Machining,LIME,2,3.5406086444854736,True,
2025-10-30T13:59:53.123354,VQ-VAE_MLP,CNC_Machining,LIME,3,3.5386435985565186,True,
2025-10-30T13:59:56.652084,VQ-VAE_MLP,CNC_Machining,LIME,4,3.5286130905151367,True,
2025-10-30T13:59:57.008734,VQ-VAE_MLP,Welding,IG,0,0.356536865234375,True,
2025-10-30T13:59:57.388140,VQ-VAE_MLP,Welding,IG,1,0.37920451164245605,True,
2025-10-30T13:59:57.762802,VQ-VAE_MLP,Welding,IG,2,0.3744664192199707,True,
2025-10-30T13:59:58.132868,VQ-VAE_MLP,Welding,IG,3,0.36986827850341797,True,
2025-10-30T13:59:58.509627,VQ-VAE_MLP,Welding,IG,4,0.3765852451324463,True,
2025-10-30T13:59:58.685684,VQ-VAE_MLP,Welding,SM,0,0.17586565017700195,True,
2025-10-30T13:59:58.855742,VQ-VAE_MLP,Welding,SM,1,0.1698908805847168,True,
2025-10-30T13:59:59.020732,VQ-VAE_MLP,Welding,SM,2,0.1648848056793213,True,
2025-10-30T13:59:59.190952,VQ-VAE_MLP,Welding,SM,3,0.17011213302612305,True,
2025-10-30T13:59:59.354842,VQ-VAE_MLP,Welding,SM,4,0.16378021240234375,True,
2025-10-30T14:00:03.192754,VQ-VAE_MLP,Welding,RISE,0,3.8377976417541504,True,
2025-10-30T14:00:06.987569,VQ-VAE_MLP,Welding,RISE,1,3.7947041988372803,True,
2025-10-30T14:00:10.807582,VQ-VAE_MLP,Welding,RISE,2,3.819911003112793,True,
2025-10-30T14:00:14.756534,VQ-VAE_MLP,Welding,RISE,3,3.9488487243652344,True,
2025-10-30T14:00:18.532523,VQ-VAE_MLP,Welding,RISE,4,3.775893449783325,True,
2025-10-30T14:00:20.839753,VQ-VAE_MLP,Welding,LIME,0,2.3071329593658447,True,
2025-10-30T14:00:23.146806,VQ-VAE_MLP,Welding,LIME,1,2.3069422245025635,True,
2025-10-30T14:00:25.454931,VQ-VAE_MLP,Welding,LIME,2,2.3080129623413086,True,
2025-10-30T14:00:27.756495,VQ-VAE_MLP,Welding,LIME,3,2.3014607429504395,True,
2025-10-30T14:00:30.055190,VQ-VAE_MLP,Welding,LIME,4,2.2985990047454834,True,
2025-10-30T14:00:30.421967,VQ-VAE_MLP,ECG,IG,0,0.36667370796203613,True,
2025-10-30T14:00:30.781298,VQ-VAE_MLP,ECG,IG,1,0.35913777351379395,True,
2025-10-30T14:00:31.131220,VQ-VAE_MLP,ECG,IG,2,0.3497302532196045,True,
2025-10-30T14:00:31.483368,VQ-VAE_MLP,ECG,IG,3,0.35195493698120117,True,
2025-10-30T14:00:31.831243,VQ-VAE_MLP,ECG,IG,4,0.3476831912994385,True,
2025-10-30T14:00:31.977047,VQ-VAE_MLP,ECG,SM,0,0.14558911323547363,True,
2025-10-30T14:00:32.118786,VQ-VAE_MLP,ECG,SM,1,0.14163494110107422,True,
2025-10-30T14:00:32.261615,VQ-VAE_MLP,ECG,SM,2,0.14271974563598633,True,
2025-10-30T14:00:32.402866,VQ-VAE_MLP,ECG,SM,3,0.14115691184997559,True,
2025-10-30T14:00:32.544321,VQ-VAE_MLP,ECG,SM,4,0.1413581371307373,True,
2025-10-30T14:00:36.485838,VQ-VAE_MLP,ECG,RISE,0,3.941423177719116,True,
2025-10-30T14:00:40.423310,VQ-VAE_MLP,ECG,RISE,1,3.9373648166656494,True,
2025-10-30T14:00:44.353992,VQ-VAE_MLP,ECG,RISE,2,3.930582284927368,True,
2025-10-30T14:00:48.331060,VQ-VAE_MLP,ECG,RISE,3,3.976961135864258,True,
2025-10-30T14:00:52.264754,VQ-VAE_MLP,ECG,RISE,4,3.933593511581421,True,
2025-10-30T14:00:54.161809,VQ-VAE_MLP,ECG,LIME,0,1.896956443786621,True,
2025-10-30T14:00:56.241077,VQ-VAE_MLP,ECG,LIME,1,2.0791594982147217,True,
2025-10-30T14:00:58.146818,VQ-VAE_MLP,ECG,LIME,2,1.9056427478790283,True,
2025-10-30T14:01:00.054474,VQ-VAE_MLP,ECG,LIME,3,1.9075567722320557,True,
2025-10-30T14:01:01.958835,VQ-VAE_MLP,ECG,LIME,4,1.9042644500732422,True,
2025-10-30T14:01:02.187549,DVAE_MLP,CNC_Machining,IG,0,0.22861003875732422,True,
2025-10-30T14:01:02.428375,DVAE_MLP,CNC_Machining,IG,1,0.24063682556152344,True,
2025-10-30T14:01:02.685175,DVAE_MLP,CNC_Machining,IG,2,0.2566103935241699,True,
2025-10-30T14:01:02.947266,DVAE_MLP,CNC_Machining,IG,3,0.2619011402130127,True,
2025-10-30T14:01:03.214796,DVAE_MLP,CNC_Machining,IG,4,0.2673327922821045,True,
2025-10-30T14:01:03.240713,DVAE_MLP,CNC_Machining,SM,0,0.02571415901184082,True,
2025-10-30T14:01:03.263958,DVAE_MLP,CNC_Machining,SM,1,0.02315235137939453,True,
2025-10-30T14:01:03.286614,DVAE_MLP,CNC_Machining,SM,2,0.022563457489013672,True,
2025-10-30T14:01:03.308817,DVAE_MLP,CNC_Machining,SM,3,0.02212667465209961,True,
2025-10-30T14:01:03.330829,DVAE_MLP,CNC_Machining,SM,4,0.021928071975708008,True,
2025-10-30T14:01:07.143745,DVAE_MLP,CNC_Machining,RISE,0,3.812830686569214,True,
2025-10-30T14:01:10.931009,DVAE_MLP,CNC_Machining,RISE,1,3.7871601581573486,True,
2025-10-30T14:01:14.718575,DVAE_MLP,CNC_Machining,RISE,2,3.787468671798706,True,
2025-10-30T14:01:18.541726,DVAE_MLP,CNC_Machining,RISE,3,3.823044776916504,True,
2025-10-30T14:01:22.378172,DVAE_MLP,CNC_Machining,RISE,4,3.836346387863159,True,
2025-10-30T14:01:25.023070,DVAE_MLP,CNC_Machining,LIME,0,2.6447958946228027,True,
2025-10-30T14:01:27.676584,DVAE_MLP,CNC_Machining,LIME,1,2.6534104347229004,True,
2025-10-30T14:01:30.317438,DVAE_MLP,CNC_Machining,LIME,2,2.6407582759857178,True,
2025-10-30T14:01:32.957500,DVAE_MLP,CNC_Machining,LIME,3,2.639962911605835,True,
2025-10-30T14:01:35.609147,DVAE_MLP,CNC_Machining,LIME,4,2.6515421867370605,True,
2025-10-30T14:01:35.966554,DVAE_MLP,Welding,IG,0,0.35730552673339844,True,
2025-10-30T14:01:36.335797,DVAE_MLP,Welding,IG,1,0.36904072761535645,True,
2025-10-30T14:01:36.698240,DVAE_MLP,Welding,IG,2,0.36224865913391113,True,
2025-10-30T14:01:37.077038,DVAE_MLP,Welding,IG,3,0.3786137104034424,True,
2025-10-30T14:01:37.461010,DVAE_MLP,Welding,IG,4,0.38376760482788086,True,
2025-10-30T14:01:37.635950,DVAE_MLP,Welding,SM,0,0.17473435401916504,True,
2025-10-30T14:01:37.806704,DVAE_MLP,Welding,SM,1,0.17064237594604492,True,
2025-10-30T14:01:37.969664,DVAE_MLP,Welding,SM,2,0.16279149055480957,True,
2025-10-30T14:01:38.134087,DVAE_MLP,Welding,SM,3,0.1642627716064453,True,
2025-10-30T14:01:38.302474,DVAE_MLP,Welding,SM,4,0.16828179359436035,True,
2025-10-30T14:01:42.163190,DVAE_MLP,Welding,RISE,0,3.8606107234954834,True,
2025-10-30T14:01:46.001154,DVAE_MLP,Welding,RISE,1,3.828387498855591,True,
2025-10-30T14:01:49.987209,DVAE_MLP,Welding,RISE,2,3.9859535694122314,True,
2025-10-30T14:01:53.794675,DVAE_MLP,Welding,RISE,3,3.807363510131836,True,
2025-10-30T14:01:57.596824,DVAE_MLP,Welding,RISE,4,3.8020448684692383,True,
2025-10-30T14:01:59.628867,DVAE_MLP,Welding,LIME,0,2.031930923461914,True,
2025-10-30T14:02:01.649399,DVAE_MLP,Welding,LIME,1,2.02043080329895,True,
2025-10-30T14:02:03.674643,DVAE_MLP,Welding,LIME,2,2.025148868560791,True,
2025-10-30T14:02:05.700875,DVAE_MLP,Welding,LIME,3,2.0261268615722656,True,
2025-10-30T14:02:07.723926,DVAE_MLP,Welding,LIME,4,2.022951126098633,True,
2025-10-30T14:02:07.997333,DVAE_MLP,ECG,IG,0,0.27330660820007324,True,
2025-10-30T14:02:08.268179,DVAE_MLP,ECG,IG,1,0.2706735134124756,True,
2025-10-30T14:02:08.533217,DVAE_MLP,ECG,IG,2,0.26483941078186035,True,
2025-10-30T14:02:08.797183,DVAE_MLP,ECG,IG,3,0.26377272605895996,True,
2025-10-30T14:02:09.071719,DVAE_MLP,ECG,IG,4,0.2743544578552246,True,
2025-10-30T14:02:09.179123,DVAE_MLP,ECG,SM,0,0.10721445083618164,True,
2025-10-30T14:02:09.283371,DVAE_MLP,ECG,SM,1,0.10414981842041016,True,
2025-10-30T14:02:09.386823,DVAE_MLP,ECG,SM,2,0.10335278511047363,True,
2025-10-30T14:02:09.491647,DVAE_MLP,ECG,SM,3,0.10471916198730469,True,
2025-10-30T14:02:09.595804,DVAE_MLP,ECG,SM,4,0.10405898094177246,True,
2025-10-30T14:02:13.240245,DVAE_MLP,ECG,RISE,0,3.6443355083465576,True,
2025-10-30T14:02:16.897768,DVAE_MLP,ECG,RISE,1,3.6574227809906006,True,
2025-10-30T14:02:20.578000,DVAE_MLP,ECG,RISE,2,3.6801233291625977,True,
2025-10-30T14:02:24.228563,DVAE_MLP,ECG,RISE,3,3.650456190109253,True,
2025-10-30T14:02:28.080076,DVAE_MLP,ECG,RISE,4,3.8514156341552734,True,
2025-10-30T14:02:29.635435,DVAE_MLP,ECG,LIME,0,1.5552213191986084,True,
2025-10-30T14:02:31.191935,DVAE_MLP,ECG,LIME,1,1.5564019680023193,True,
2025-10-30T14:02:32.741965,DVAE_MLP,ECG,LIME,2,1.549929141998291,True,
2025-10-30T14:02:34.289472,DVAE_MLP,ECG,LIME,3,1.5474119186401367,True,
2025-10-30T14:02:35.839964,DVAE_MLP,ECG,LIME,4,1.5503864288330078,True,
2025-10-30T14:02:41.608252,VQ-VAE_Transformer,CNC_Machining,IG,0,5.768188714981079,True,
2025-10-30T14:02:47.333785,VQ-VAE_Transformer,CNC_Machining,IG,1,5.725340127944946,True,
2025-10-30T14:02:53.060123,VQ-VAE_Transformer,CNC_Machining,IG,2,5.726128816604614,True,
2025-10-30T14:02:58.806168,VQ-VAE_Transformer,CNC_Machining,IG,3,5.745830535888672,True,
2025-10-30T14:03:04.517785,VQ-VAE_Transformer,CNC_Machining,IG,4,5.711398363113403,True,
2025-10-30T14:03:04.815290,VQ-VAE_Transformer,CNC_Machining,SM,0,0.29730653762817383,True,
2025-10-30T14:03:05.107980,VQ-VAE_Transformer,CNC_Machining,SM,1,0.292572021484375,True,
2025-10-30T14:03:05.399345,VQ-VAE_Transformer,CNC_Machining,SM,2,0.2912607192993164,True,
2025-10-30T14:03:05.690815,VQ-VAE_Transformer,CNC_Machining,SM,3,0.2913672924041748,True,
2025-10-30T14:03:05.983312,VQ-VAE_Transformer,CNC_Machining,SM,4,0.2923886775970459,True,
2025-10-30T14:03:50.062092,VQ-VAE_Transformer,CNC_Machining,RISE,0,44.07867789268494,True,
